id	n	tau	factorization
29379	9764328000	1008	2^6*3^1*5^3*7^2*19^2*23^1
29380	9764422668	1080	2^2*3^4*7^2*11^2*13^1*17^1*23^1
29381	9764816490	896	2^1*3^6*5^1*11^1*13^1*17^1*19^1*29^1
29382	9765100800	1512	2^8*3^6*5^2*7^1*13^1*23^1
29383	9765194400	972	2^5*3^2*5^2*13^1*17^2*19^2
29384	9765324360	864	2^3*3^5*5^1*11^2*19^2*23^1
29385	9765550080	1152	2^11*3^3*5^1*11^1*13^2*19^1
29386	9766280160	960	2^5*3^4*5^1*7^3*13^3
29387	9766280700	864	2^2*3^3*5^2*11^1*17^1*23^1*29^2
29388	9766841700	972	2^2*3^1*5^2*7^2*11^2*17^2*19^1
29389	9767142000	1280	2^4*3^7*5^3*7^1*11^1*29^1
29390	9767197440	1296	2^8*3^2*5^1*7^2*11^3*13^1
29391	9767520000	1440	2^8*3^3*5^4*7^1*17^1*19^1
29392	9767931264	1152	2^7*3^5*7^2*13^1*17^1*29^1
29393	9768330000	1200	2^4*3^3*5^4*11^2*13^1*23^1
29394	9768439296	1200	2^9*3^4*7^2*11^1*19^1*23^1
29395	9769119360	1536	2^7*3^1*5^1*7^1*11^1*13^2*17^1*23^1
29396	9769572000	864	2^5*3^5*5^3*19^1*23^2
29397	9770751900	1296	2^2*3^3*5^2*7^2*13^2*19^1*23^1
29398	9771090000	900	2^4*3^1*5^4*7^2*17^2*23^1
29399	9771161400	1728	2^3*3^2*5^2*7^1*11^2*13^1*17^1*29^1
29400	9771478080	1008	2^6*3^1*5^1*7^2*13^1*19^1*29^2
29401	9771589800	864	2^3*3^2*5^2*7^5*17^1*19^1
29402	9771632640	1344	2^11*3^6*5^1*7^1*11^1*17^1
29403	9771669600	1152	2^5*3^1*5^2*7^1*11^3*19^1*23^1
29404	9771840000	1000	2^9*3^4*5^4*13^1*29^1
29405	9772009632	864	2^5*3^2*7^3*11^1*17^1*23^2
29406	9772403760	1600	2^4*3^4*5^1*7^1*17^1*19^1*23^1*29^1
29407	9773137920	960	2^14*3^1*5^1*7^1*13^1*19^1*23^1
29408	9773265600	1134	2^6*3^8*5^2*7^2*19^1
29409	9773946000	1440	2^4*3^5*5^3*7^1*13^2*17^1
29410	9774864000	1024	2^7*3^3*5^3*11^3*17^1
29411	9775180800	1584	2^10*3^2*5^2*7^1*11^1*19^1*29^1
29412	9775598400	882	2^6*3^6*5^2*17^2*29^1
29413	9775911600	1200	2^4*3^3*5^2*7^4*13^1*29^1
29414	9775920000	960	2^7*3^1*5^4*7^1*11^1*23^2
29415	9776497500	1080	2^2*3^5*5^4*7^1*11^2*19^1
29416	9776725920	864	2^5*3^5*5^1*13^1*23^1*29^2
29417	9776837700	1008	2^2*3^6*5^2*7^3*17^1*23^1
29418	9777287520	2304	2^5*3^3*5^1*7^2*11^1*13^1*17^1*19^1
29419	9777495000	960	2^3*3^1*5^4*7^1*13^2*19^1*29^1
29420	9778753600	1008	2^6*5^2*7^2*11^1*17^1*23^1*29^1
29421	9779148000	864	2^5*3^2*5^3*17^1*19^1*29^2
29422	9779341572	864	2^2*3^5*7^1*11^1*13^1*19^1*23^2
29423	9779616000	1440	2^8*3^4*5^3*7^3*11^1
29424	9780613920	864	2^5*3^8*5^1*7^1*11^3
29425	9781200000	1152	2^7*3^2*5^5*11^1*13^1*19^1
29426	9781309440	936	2^12*3^3*5^1*7^2*19^2
29427	9781611840	1680	2^6*3^4*5^1*7^1*11^1*13^2*29^1
29428	9781764300	1296	2^2*3^2*5^2*7^1*11^1*17^1*19^2*23^1
29429	9782538480	1280	2^4*3^7*5^1*11^1*13^1*17^1*23^1
29430	9783585000	1200	2^3*3^4*5^4*7^2*17^1*29^1
29431	9784045440	864	2^7*3^2*5^1*13^2*19^1*23^2
29432	9784505808	960	2^4*3^5*7^3*11^1*23^1*29^1
29433	9784884480	1152	2^8*3^1*5^1*7^3*17^1*19^1*23^1
29434	9784962000	1200	2^4*3^4*5^3*11^1*17^2*19^1
29435	9785275500	960	2^2*3^1*5^3*7^4*11^1*13^1*19^1
29436	9785318400	1188	2^10*3^5*5^2*11^2*13^1
29437	9785695920	1080	2^4*3^1*5^1*7^2*11^2*13^1*23^2
29438	9786090600	1536	2^3*3^3*5^2*11^1*13^1*19^1*23^1*29^1
29439	9787744512	972	2^8*3^5*7^2*13^2*19^1
29440	9788083200	1188	2^10*3^3*5^2*7^2*17^2
29441	9788927148	864	2^2*3^2*7^1*11^1*13^1*17^1*19^1*29^2
29442	9789212160	1440	2^9*3^2*5^1*7^2*13^1*23^1*29^1
29443	9789395616	900	2^5*3^4*7^4*11^2*13^1
29444	9790139520	1152	2^7*3^5*5^1*7^1*17^1*23^2
29445	9790530750	1152	2^1*3^5*5^3*7^2*11^1*13^1*23^1
29446	9790589952	1056	2^10*3^2*11^1*13^1*17^1*19^1*23^1
29447	9790717860	960	2^2*3^9*5^1*7^1*11^1*17^1*19^1
29448	9790981200	1620	2^4*3^2*5^2*7^1*11^2*13^2*19^1
29449	9791258400	1296	2^5*3^3*5^2*7^2*11^1*29^2
29450	9791321904	960	2^4*3^3*7^3*13^2*17^1*23^1
29451	9792226080	1440	2^5*3^4*5^1*7^1*13^1*19^2*23^1
29452	9792636480	1344	2^6*3^3*5^1*11^2*17^1*19^1*29^1
29453	9792921600	1344	2^13*3^3*5^2*7^1*11^1*23^1
29454	9792956250	864	2^1*3^2*5^5*7^2*11^1*17^1*19^1
29455	9793377000	864	2^3*3^2*5^3*11^2*17^1*23^2
29456	9793694400	1008	2^6*3^1*5^2*7^1*19^1*23^2*29^1
29457	9793877940	1152	2^2*3^3*5^1*7^3*11^2*19^1*23^1
29458	9794104320	1056	2^10*3^1*5^1*7^3*11^1*13^2
29459	9794272950	864	2^1*3^5*5^2*7^1*11^1*19^2*29^1
29460	9795240000	1260	2^6*3^2*5^4*7^1*13^2*23^1
29461	9795427200	1344	2^7*3^6*5^2*13^1*17^1*19^1
29462	9795760128	936	2^12*3^2*7^2*11^1*17^1*29^1
29463	9795805110	864	2^1*3^2*5^1*7^2*13^1*17^1*19^1*23^2
29464	9796215660	864	2^2*3^1*5^1*7^1*11^2*17^2*23^1*29^1
29465	9796896000	1152	2^8*3^3*5^3*17^1*23^1*29^1
29466	9797079600	1620	2^4*3^5*5^2*7^2*11^2*17^1
29467	9797287500	1152	2^2*3^3*5^5*7^1*11^1*13^1*29^1
29468	9797397120	1280	2^7*3^4*5^1*7^3*19^1*29^1
29469	9797760000	880	2^10*3^7*5^4*7^1
29470	9798079200	1296	2^5*3^1*5^2*7^2*13^2*17^1*29^1
29471	9798138000	960	2^4*3^3*5^3*7^3*23^2
29472	9798588800	1152	2^7*5^2*7^2*11^1*13^1*19^1*23^1
29473	9798776064	1080	2^8*3^4*7^1*11^1*17^1*19^2
29474	9798984000	1008	2^6*3^2*5^3*13^1*19^2*29^1
29475	9799007400	1440	2^3*3^4*5^2*7^1*13^1*17^2*23^1
29476	9799458240	1008	2^6*3^1*5^1*11^1*13^2*17^2*19^1
29477	9799735680	864	2^7*3^2*5^1*7^1*17^2*29^2
29478	9800137620	864	2^2*3^3*5^1*7^1*13^2*23^2*29^1
29479	9800637000	1152	2^3*3^1*5^3*7^2*11^2*19^1*29^1
29480	9800978040	960	2^3*3^2*5^1*7^4*17^1*23^1*29^1
29481	9801095850	864	2^1*3^3*5^2*7^1*13^2*17^1*19^2
29482	9801792000	1920	2^9*3^2*5^3*7^1*11^1*13^1*17^1
29483	9802357488	1080	2^4*3^2*7^2*11^1*17^2*19^1*23^1
29484	9802658880	1008	2^6*3^8*5^1*7^1*23^1*29^1
29485	9803109888	960	2^9*3^5*11^1*13^1*19^1*29^1
29486	9803430000	1500	2^4*3^4*5^4*7^2*13^1*19^1
29487	9803851200	1260	2^6*3^4*5^2*11^1*13^1*23^2
29488	9804900000	864	2^5*3^1*5^5*7^2*23^1*29^1
29489	9805035240	1152	2^3*3^2*5^1*7^2*11^1*13^3*23^1
29490	9805561920	1120	2^6*3^4*5^1*7^1*11^1*17^3
29491	9805770000	900	2^4*3^2*5^4*13^1*17^2*29^1
29492	9805876080	960	2^4*3^1*5^1*7^5*11^1*13^1*17^1
29493	9805900500	864	2^2*3^5*5^3*11^2*23^1*29^1
29494	9806280000	1120	2^6*3^1*5^4*11^1*17^1*19^1*23^1
29495	9806692896	1536	2^5*3^3*7^1*11^1*13^1*17^1*23^1*29^1
29496	9806781600	1296	2^5*3^2*5^2*7^3*11^1*19^2
29497	9807202944	864	2^7*3^2*7^1*11^2*19^1*23^2
29498	9807557760	1536	2^7*3^7*5^1*7^2*11^1*13^1
29499	9808782984	864	2^3*3^2*7^1*11^1*13^2*19^2*29^1
29500	9809122400	864	2^5*5^2*7^1*11^1*17^2*19^1*29^1
29501	9809479680	1152	2^11*3^1*5^1*7^1*11^2*13^1*29^1
29502	9810408960	1200	2^9*3^4*5^1*11^2*17^1*23^1
29503	9810801000	1280	2^3*3^4*5^3*7^1*11^3*13^1
29504	9811183140	864	2^2*3^2*5^1*11^1*17^1*19^1*23^2*29^1
29505	9811538100	1152	2^2*3^7*5^2*7^1*13^1*17^1*29^1
29506	9811593792	1134	2^6*3^2*7^2*11^2*13^2*17^1
29507	9812048400	1680	2^4*3^6*5^2*7^1*11^1*19^1*23^1
29508	9812275200	1170	2^12*3^4*5^2*7^1*13^2
29509	9812499840	1152	2^7*3^3*5^1*11^2*13^1*19^2
29510	9812731500	1152	2^2*3^3*5^3*11^1*13^2*17^1*23^1
29511	9813233430	960	2^1*3^4*5^1*7^3*11^1*13^2*19^1
29512	9813460800	1008	2^6*3^1*5^2*11^1*13^1*17^1*29^2
29513	9813573000	1152	2^3*3^2*5^3*7^3*11^1*17^2
29514	9814155120	900	2^4*3^2*5^1*7^2*11^4*19^1
29515	9814704900	1152	2^2*3^1*5^2*7^3*11^1*13^1*23^1*29^1
29516	9814892472	1152	2^3*3^5*7^2*11^1*17^1*19^1*29^1
29517	9815178240	1056	2^10*3^5*5^1*7^3*23^1
29518	9815256000	1008	2^6*3^8*5^3*11^1*17^1
29519	9815272320	864	2^7*3^1*5^1*7^2*17^2*19^2
29520	9815575770	864	2^1*3^2*5^1*7^1*11^1*13^2*17^2*29^1
29521	9815629824	1008	2^13*3^2*7^2*11^1*13^1*19^1
29522	9816086280	1536	2^3*3^1*5^1*7^1*11^2*13^1*17^1*19^1*23^1
29523	9816768000	1280	2^9*3^3*5^3*13^1*19^1*23^1
29524	9817953600	1008	2^6*3^1*5^2*7^2*13^3*19^1
29525	9818424000	1512	2^6*3^2*5^3*7^2*11^2*23^1
29526	9818820000	1200	2^5*3^4*5^4*11^1*19^1*29^1
29527	9819295200	1296	2^5*3^3*5^2*11^2*13^1*17^2
29528	9819613440	1728	2^8*3^2*5^1*7^1*13^1*17^1*19^1*29^1
29529	9820124160	1056	2^10*3^1*5^1*7^1*11^1*19^2*23^1
29530	9820356000	1152	2^5*3^1*5^3*7^1*13^1*17^1*23^2
29531	9820427760	1080	2^4*3^2*5^1*11^2*13^2*23^1*29^1
29532	9820543680	1008	2^6*3^5*5^1*17^2*19^1*23^1
29533	9820858320	1200	2^4*3^2*5^1*7^4*13^1*19^1*23^1
29534	9821269920	1152	2^5*3^1*5^1*7^3*11^2*17^1*29^1
29535	9821729736	864	2^3*3^3*7^2*13^2*17^2*19^1
29536	9821952000	1152	2^11*3^3*5^3*7^2*29^1
29537	9822408750	960	2^1*3^2*5^4*7^1*11^1*17^1*23^1*29^1
29538	9822954240	864	2^8*3^7*5^1*11^2*29^1
29539	9823226400	864	2^5*3^5*5^2*13^3*23^1
