category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
smooth<=100,"{11,18,20}",20,3,46.31351351351351,-204.9777777777778,2.28,1.5491998127374544,0.010101010101010102,False,False,False,22,3,4,21,1.5555555555555558,1.494949494949495,69.23636363636363,1.505050505050505,0.4054624862886023,2.3159754776277097
smooth<=100,"{8,14,18,20,25,30,33,35}",35,8,448.2015444015444,-6023.747186147187,3.0000000000000004,2.0250916449808383,0.000505050505050505,False,False,False,35,10,12,65,1.2447712418300654,4.484848484848485,2010.1160173160176,5.8114478114478105,1.6353906921119143,9.082229195671639
smooth<=100,"{7,24,30,54,55}",55,5,237.14296187683289,-2795.0937950937955,1.962121212121212,1.4588207990958648,0.001322751322751323,False,False,False,55,7,12,86,1.1320175438596491,3.9365079365079367,933.5151515151517,3.1480401684483312,1.2973097425676956,5.742659653583722
smooth<=100,"{20,25,27,28,35}",35,5,39.52463054187192,-301.1936507936509,2.5269230769230773,1.8799018992791259,0.016666666666666666,False,False,False,50,6,7,32,1.4583333333333335,2.5777777777777784,101.88571428571431,3.4222222222222216,0.711873559070874,4.84596934036397
smooth<=100,"{36,81,100}",100,3,5.904672897196262,-42.55802469135803,1.7555555555555555,0.9938209262561585,0.12345679012345678,False,True,False,108,4,5,19,1.361904761904762,2.6419753086419755,15.600000000000001,1.4413580246913575,0.5921461618445554,2.6256503483804683
smooth<=100,"{15,24,27,42,55,80}",80,6,239.6003937007874,-3155.255411255412,2.390123456790123,1.5483777728517685,0.001443001443001443,False,False,False,80,7,13,83,1.180722891566265,4.3982683982683985,1053.82683982684,3.5770402437069095,1.616570391604114,6.810181026915138
smooth<=100,"{12,16,49,50,66,70}",70,6,289.9253521126761,-4270.642424242425,2.1260204081632654,1.4402214342906916,0.0004329004329004329,False,False,False,70,9,12,75,1.1761904761904762,4.917748917748918,1425.7800865800868,4.082251082251082,1.5001981587753805,7.082647399801843
smooth<=100,"{8,28,30,36,45,54,70,75,77,98}",98,10,364.597027972028,-10099.749494949498,1.7807692307692304,1.3433461580748194,0.0006060606060606061,False,False,False,98,13,24,124,1.1763131482101037,9.244444444444445,3370.49696969697,5.284511046133852,3.566988940923351,12.418488927980555
smooth<=100,"{12,16,18,20}",20,4,12.458823529411765,-67.17777777777779,2.5,1.8697974844891923,0.05555555555555556,False,False,False,24,4,5,17,1.2916666666666667,1.888888888888889,23.533333333333335,2.3611111111111107,0.5853642909064598,3.5318396929240303
smooth<=100,"{11,12,15,18}",18,4,79.01923076923077,-444.9454545454546,2.3492063492063493,1.953265806945773,0.00909090909090909,False,False,False,22,4,5,24,1.3363636363636364,1.890909090909091,149.41818181818184,2.609090909090909,0.5421785811123674,3.6934480713156437
smooth<=100,"{32,35,40,55,60,72,75,81,88,99}",99,10,529.3373802384261,-7512.34181818182,3.1543209876543217,2.2818500751070796,0.0005952380952380953,False,False,False,99,11,14,93,1.2012345679012346,4.735238095238096,2506.538528138529,6.585074404761904,2.110014499253526,10.805103403268955
smooth<=100,"{11,14,15,16,18,20,21,24,25,27}",27,10,774.8337850045167,-8905.229437229438,3.5956790123456805,2.6961316693975665,0.000487012987012987,False,False,False,27,10,11,64,1.3009404388714734,3.8337662337662346,2970.531601731602,6.853733766233765,1.7413023948452073,10.33633855592418
smooth<=100,"{33,35,44,63,64,72,75,81,84}",84,9,464.83449280051775,-4969.190764790766,3.0571428571428574,2.4782278056800555,0.000505050505050505,False,False,False,84,9,11,81,1.2987012987012985,3.567676767676768,1658.379220779221,5.744823232323232,1.5483462675060382,8.84151576733531
smooth<=100,"{16,36,40,54,88,90}",90,6,48.097959183673474,-742.7303030303032,1.8060606060606057,1.194108305142518,0.007575757575757576,False,False,False,90,8,11,50,1.1726190476190474,5.196969696969697,249.9636363636364,3.429766414141414,1.3879891312920487,6.205744676725511
smooth<=100,"{5,18,28}",28,3,16.935714285714287,-131.65714285714287,1.8928571428571428,1.1521646228167965,0.022222222222222223,False,False,False,28,4,7,49,1.2142857142857144,2.666666666666667,45.16190476190477,1.37037037037037,0.8510343119038775,3.0724389941781247
smooth<=100,"{25,27,30,32,33,45,49,56}",56,8,693.5990033222591,-7224.688023088024,3.3061224489795924,2.4710204904784896,0.0004329004329004329,False,False,False,56,8,10,77,1.1875000000000002,3.4747474747474754,2410.081385281386,5.657968574635241,1.46410181735208,8.5861722093394
smooth<=100,"{16,22,25}",25,3,27.173333333333332,-163.11818181818182,1.5916666666666666,1.3032706488905097,0.028409090909090908,False,False,False,44,4,5,14,1.5473484848484849,2.0454545454545454,55.58181818181818,1.5170454545454544,0.574367709092567,2.665780872730588
smooth<=100,"{12,32,98}",98,3,3.8208955223880596,-57.08333333333334,1.2930288461538462,0.7051551289372338,0.14583333333333334,False,True,False,98,6,11,55,1.1338824289405685,5.583333333333334,21.333333333333336,1.7350877192982455,1.1010142086339885,3.9371161365662224
