category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
random<=100,"{10,11,15,16,17,28}",28,6,4127.301901336074,-39264.13526865292,2.583984375,1.9462684535162302,8.9126559714795e-05,False,False,False,28,6,8,63,1.294642857142857,3.171479500891266,13089.653374076905,3.9429649435531786,1.1147927800024457,6.17255050355807
random<=100,"{21,26,29,44,67,70,77,95}",95,8,16404786.713172104,-224031743.30029115,2.7287449392712553,1.8955853245040684,4.284615710246178e-08,False,False,False,95,10,16,128,1.1991184858698472,4.552162197041252,74677249.92622666,5.458419813540759,1.5852960209664173,8.629011855473594
random<=100,"{14,15,18}",18,3,26.544444444444444,-133.29523809523812,1.9861111111111112,1.4110845696085828,0.02857142857142857,False,False,False,30,4,5,15,1.68,1.7142857142857146,45.504761904761914,1.5714285714285712,0.42378677395021414,2.4190021193289994
random<=100,"{68,84}",84,2,17.918367346938776,-85.37815126050421,1.6071428571428572,0.9952598484915295,0.058823529411764705,False,True,False,204,4,5,5,1.786764705882353,1.647058823529412,29.51260504201681,0.588235294117647,0.5255081105224362,1.6392515151625193
random<=100,"{22,23,27,33,40,47,52,59,60,62}",62,10,556951928.3508966,-7105455360.790111,2.4999999999999996,2.1160596014741726,6.091352772862361e-10,False,False,False,62,10,13,102,1.2687878787878788,4.2525844726569115,2368485122.5213475,6.828279724873953,1.0852212397858423,8.998722204445638
random<=100,"{36,41,77,78}",78,4,14207.089999999998,-108000.45612923661,2.155448717948718,1.401685707871511,5.279273571956498e-05,False,False,False,82,5,6,34,1.362423780487805,2.5340513145391195,36001.49509027557,2.6326153521275475,0.45966407923747543,3.5519435106024986
random<=100,"{5,18,44,68,74}",74,5,6155.79850190547,-129980.55873199404,1.3725868725868726,0.8482153913744311,5.941770647653e-05,False,True,False,74,9,21,138,1.1022222222222222,7.038859180035652,43329.798795587034,3.027968489448565,1.4712501023874416,5.970468694223448
random<=100,"{80,83}",83,2,61.32487846121326,-259.3509036144578,1.9196787148594379,1.2954814383605944,0.0125,False,False,False,166,3,4,6,1.9156626506024097,1.4250000000000003,87.38795180722892,0.6124999999999999,0.6167805248319238,1.8460610496638474
random<=100,"{9,10,11,12,13,14,15,16}",16,8,7397.856617647059,-57889.36183816186,4.470588235294118,2.917179185537186,4.44000444000444e-05,False,False,False,18,8,9,53,1.2389610389610388,2.6085914085914093,19297.985214785218,5.576593776593776,1.0165673920601062,7.609728560713988
random<=100,"{9,14,17,19,20}",20,5,7118.111971830985,-42912.95957540912,3.016666666666667,2.3181030209999998,9.828492800629024e-05,False,False,False,20,5,6,44,1.4444444444444444,2.0097302078726234,14305.484652808495,3.471751273608858,0.5935051963278135,4.6587616662644855
random<=100,"{9,10,15,16,19,22,24,25,28}",28,9,11403.973534433695,-131472.51619958994,3.646616541353384,2.6233658315065123,2.6581605528973953e-05,False,False,False,28,10,12,73,1.1882102272727273,3.843062200956939,43826.179630895436,6.906937799043061,1.5874101336507933,10.081758066344648
random<=100,"{9,16,22,28}",28,4,76.58074534161491,-636.2077922077923,2.0539772727272725,1.5072324640263086,0.007575757575757576,False,False,False,28,5,6,36,1.3138888888888889,2.787878787878788,213.49783549783552,2.962121212121212,0.6199301013700065,4.2019814148612245
random<=100,"{13,33,48,51,79}",79,5,41186.15948352401,-608687.4092757577,1.4980237154150196,1.1216541632465902,8.569861511037982e-06,False,False,False,79,6,11,69,1.2834224598930482,4.926367749897162,202898.16782175383,2.9525005223534637,1.2865901870012126,5.5256808963558885
random<=100,"{21,22,25,32,59}",59,5,12737.629488378123,-121151.73711937782,2.43359375,1.8026828943886228,2.7056277056277056e-05,False,False,False,59,5,8,71,1.3691666666666664,3.170562770562771,40385.45384107419,3.546203102453102,1.0846580848129022,5.7155192720789065
random<=100,"{10,13,16,49,51,54,56,59}",59,8,324214.95026652794,-4938622.857849895,2.3405330882352944,1.8628219880227996,3.8476929233231754e-07,False,False,False,59,10,17,121,1.1906354515050168,5.0775263951734555,1646209.9676881449,5.743554776561786,1.8574865185667346,9.458527813695255
random<=100,"{32,37,61,68,71,72}",72,6,2334008.223847471,-23532481.151164073,2.1111111111111107,1.587555877323569,1.8354018924461834e-07,False,False,False,74,7,8,44,1.3685113685113686,3.360811746865777,7844162.25598791,3.6391882531342232,0.8481440940903161,5.335476441314856
random<=100,"{13,22,33,38,48,51,56,58,61,80}",80,10,706341793.3514413,-10778572799.851538,2.4294871794871793,1.967802760220896,5.827929809399462e-10,False,False,False,80,10,18,148,1.2327935222672064,5.0865708871928845,3592857602.4690537,6.324806684270584,1.8422807738034128,10.00936823187741
random<=100,"{10,11,16}",16,3,27.294642857142854,-163.12727272727273,1.8125,1.0436341827873354,0.01818181818181818,False,False,False,20,3,4,16,1.5380952380952382,2.0363636363636366,55.58181818181818,1.0303030303030303,0.5474578345955902,2.1252186994942104
random<=100,"{6,9,25,35,38,40,52}",52,7,5915.432303545511,-95038.26433776753,1.772893772893773,1.4886664054538736,5.012531328320802e-05,False,False,False,52,8,17,112,1.1358024691358022,5.355789473684212,31681.8100636206,3.9447640063213227,2.014109928917924,7.97298386415717
random<=100,"{20,61}",61,2,19.230472516875604,-191.3672131147541,1.3041894353369765,0.6600937219244982,0.049999999999999996,False,True,False,122,7,8,6,1.3104166666666666,3.3999999999999995,65.38360655737705,0.6500000000000007,0.7971593272716464,2.2443186545432936
random<=100,"{15,24,25,34,38,43,52,53,59}",59,9,1045372611.3475299,-15882642431.902805,2.282862523540489,1.6815927649737146,6.966562554872565e-10,False,False,False,59,11,13,95,1.218584656084656,5.064427830818284,5294214146.483616,6.405334073943621,1.055485562545965,8.51630519903555
random<=100,"{11,12,14,15,16,17,18,20}",20,8,9566.832012195122,-76705.36735421442,3.8800000000000003,2.847128754833962,4.244121891180715e-05,False,False,False,22,8,9,55,1.205357142857143,2.672778202189967,25570.020066208304,5.577221797810033,1.0162609384692218,7.609743674748477
