id	n	tau	factorization
7707	178537500	216	2^2*3^3*5^5*23^2
7708	178605000	420	2^3*3^6*5^4*7^2
7709	178623225	99	3^10*5^2*11^2
7710	178641015	108	3^1*5^1*7^2*17^2*29^2
7711	178869600	648	2^5*3^3*5^2*7^2*13^2
7712	178887852	216	2^2*3^7*11^2*13^2
7713	178917376	117	2^12*11^2*19^2
7714	178944129	63	3^2*7^6*13^2
7715	179098240	80	2^7*5^1*23^4
7716	179134592	120	2^7*7^2*13^4
7717	179159040	240	2^14*3^7*5^1
7718	179165952	324	2^8*3^3*7^2*23^2
7719	179352250	120	2^1*5^3*7^2*11^4
7720	179366460	324	2^2*3^1*5^1*7^2*13^2*19^2
7721	179490675	162	3^1*5^2*7^2*13^2*17^2
7722	179506404	243	2^2*3^2*7^2*11^2*29^2
7723	179627058	78	2^1*3^12*13^2
7724	179656704	216	2^11*3^5*19^2
7725	179788056	216	2^3*3^1*7^2*17^2*23^2
7726	179908608	130	2^12*3^1*11^4
7727	180093375	216	3^5*5^3*7^2*11^2
7728	180248166	144	2^1*3^7*7^2*29^2
7729	180280512	252	2^6*3^3*17^2*19^2
7730	180405360	200	2^4*3^3*5^1*17^4
7731	180500000	126	2^5*5^6*19^2
7732	180625000	96	2^3*5^7*17^2
7733	180633600	405	2^14*3^2*5^2*7^2
7734	180652032	252	2^11*3^6*11^2
7735	180708864	140	2^9*3^1*7^6
7736	180906486	60	2^1*3^1*17^4*19^2
7737	181037025	135	3^4*5^2*13^2*23^2
7738	181063936	45	2^8*29^4
7739	181135360	216	2^11*5^1*7^2*19^2
7740	181260800	270	2^9*5^2*7^2*17^2
7741	181279296	315	2^6*3^4*11^2*17^2
7742	181305228	90	2^2*3^1*13^4*23^2
7743	181336968	100	2^3*3^4*23^4
7744	181398528	132	2^10*3^11
7745	181500000	252	2^5*3^1*5^6*11^2
7746	181575625	75	5^4*7^4*11^2
7747	181656000	336	2^6*3^3*5^3*29^2
7748	181731690	180	2^1*3^2*5^1*7^4*29^2
7749	181908738	90	2^1*3^2*11^2*17^4
7750	182028384	180	2^5*3^9*17^2
7751	182160600	216	2^3*3^1*5^2*19^2*29^2
7752	182250000	245	2^4*3^6*5^6
7753	182520000	420	2^6*3^3*5^4*13^2
7754	182596050	270	2^1*3^2*5^2*7^4*13^2
7755	182660427	40	3^7*17^4
7756	182756250	180	2^1*3^4*5^5*19^2
7757	182790400	135	2^8*5^2*13^4
7758	182822400	360	2^9*3^3*5^2*23^2
7759	182898576	225	2^4*3^2*7^4*23^2
7760	183093248	108	2^11*13^2*23^2
7761	183153750	180	2^1*3^1*5^4*13^2*17^2
7762	183169800	324	2^3*3^2*5^2*11^2*29^2
7763	183330240	252	2^6*3^1*5^1*19^2*23^2
7764	183399552	360	2^7*3^4*7^2*19^2
7765	183457200	270	2^4*3^1*5^2*17^2*23^2
7766	183526560	540	2^5*3^4*5^1*7^2*17^2
7767	183656704	135	2^8*7^2*11^4
7768	183750000	240	2^4*3^1*5^7*7^2
7769	183926700	216	2^2*3^7*5^2*29^2
7770	184036356	243	2^2*3^2*7^2*17^2*19^2
7771	184041000	432	2^3*3^2*5^3*11^2*13^2
7772	184199184	225	2^4*3^4*13^2*29^2
7773	184320000	240	2^15*3^2*5^4
7774	184396800	330	2^10*3^1*5^2*7^4
7775	184415616	432	2^7*3^5*7^2*11^2
7776	184473632	54	2^5*7^8
7777	184552225	81	5^2*11^2*13^2*19^2
7778	184696215	60	3^1*5^1*11^4*29^2
7779	184801500	288	2^2*3^7*5^3*13^2
7780	184857992	108	2^3*11^2*19^2*23^2
7781	184960000	165	2^10*5^4*17^2
7782	184986010	108	2^1*5^1*11^2*17^2*23^2
7783	185055948	324	2^2*3^3*7^2*11^2*17^2
7784	185177664	231	2^6*3^10*7^2
7785	185281250	126	2^1*5^6*7^2*11^2
7786	185574675	90	3^1*5^2*11^4*13^2
7787	185589378	90	2^1*3^2*13^4*19^2
7788	185621868	162	2^2*3^5*19^2*23^2
7789	185750415	108	3^5*5^1*17^2*23^2
7790	185820642	162	2^1*3^8*7^2*17^2
7791	185856000	312	2^12*3^1*5^3*11^2
7792	185882136	120	2^3*3^1*11^4*23^2
7793	185933440	240	2^7*5^1*7^4*11^2
7794	186015744	168	2^13*3^3*29^2
7795	186046875	126	3^5*5^6*7^2
7796	186322500	405	2^2*3^2*5^4*7^2*13^2
7797	186617574	120	2^1*3^3*11^2*13^4
7798	186624000	336	2^11*3^6*5^3
7799	186631200	486	2^5*3^2*5^2*7^2*23^2
7800	186650244	189	2^2*3^6*11^2*23^2
7801	186661632	162	2^8*3^1*17^2*29^2
7802	186701760	420	2^6*3^5*5^1*7^4
7803	186708963	42	3^1*7^6*23^2
7804	187142400	405	2^8*3^4*5^2*19^2
7805	187220376	240	2^3*3^3*7^4*19^2
7806	187279225	81	5^2*7^2*17^2*23^2
7807	187388721	45	3^8*13^4
7808	187404800	150	2^9*5^2*11^4
7809	187419648	198	2^10*3^1*13^2*19^2
7810	187421526	72	2^1*3^11*23^2
7811	187549440	324	2^8*3^1*5^1*13^2*17^2
7812	187662240	180	2^5*3^2*5^1*19^4
7813	187792200	324	2^3*3^2*5^2*17^2*19^2
7814	187922250	120	2^1*3^2*5^3*17^4
7815	188036667	108	3^3*7^2*13^2*29^2
7816	188160000	360	2^11*3^1*5^4*7^2
7817	188179200	486	2^8*3^5*5^2*11^2
7818	188183524	21	2^2*19^6
7819	188186460	324	2^2*3^1*5^1*7^2*11^2*23^2
7820	188238400	147	2^6*5^2*7^6
7821	188257608	300	2^3*3^4*7^4*11^2
7822	188457984	297	2^10*3^2*11^2*13^2
7823	188832600	432	2^3*3^3*5^2*11^2*17^2
7824	188892675	60	3^3*5^2*23^4
7825	188931015	120	3^3*5^1*7^2*13^4
7826	188956800	264	2^7*3^10*5^2
7827	188964090	252	2^1*3^6*5^1*7^2*23^2
7828	189035532	150	2^2*3^9*7^4
7829	189062500	81	2^2*5^8*11^2
7830	189112352	162	2^5*11^2*13^2*17^2
7831	189172516	45	2^2*13^2*23^4
7832	189225000	216	2^3*3^2*5^5*29^2
7833	189226092	90	2^2*3^1*11^2*19^4
7834	189236736	240	2^9*3^7*13^2
7835	189267968	60	2^19*19^2
7836	189357135	108	3^1*5^1*11^2*17^2*19^2
7837	189399040	108	2^17*5^1*17^2
7838	189612900	243	2^2*3^8*5^2*17^2
7839	189747360	300	2^5*3^4*5^1*11^4
7840	189750625	45	5^4*19^2*29^2
7841	189843750	108	2^1*3^5*5^8
7842	189891072	270	2^9*3^2*7^2*29^2
7843	189893808	270	2^4*3^5*13^2*17^2
7844	190008018	70	2^1*3^6*19^4
7845	190125000	252	2^3*3^2*5^6*13^2
7846	190274436	135	2^2*3^2*11^4*19^2
7847	190316544	120	2^19*3^1*11^2
7848	190440000	315	2^6*3^2*5^4*23^2
7849	190519350	180	2^1*3^1*5^2*7^4*23^2
7850	190531440	300	2^4*3^9*5^1*11^2
7851	190550416	135	2^4*7^2*17^2*29^2
7852	190794240	540	2^9*3^2*5^1*7^2*13^2
7853	190801875	90	3^1*5^4*11^2*29^2
7854	190969000	144	2^3*5^3*19^2*23^2
7855	191041200	540	2^4*3^3*5^2*7^2*19^2
7856	191060694	144	2^1*3^7*11^2*19^2
7857	191101250	90	2^1*5^4*17^2*23^2
7858	191102976	133	2^18*3^6
7859	191173500	432	2^2*3^3*5^3*7^2*17^2
7860	191318760	120	2^3*3^14*5^1
7861	191324224	189	2^6*7^2*13^2*19^2
7862	191328588	84	2^2*3^3*11^6
7863	191406250	60	2^1*5^9*7^2
7864	191709375	108	3^1*5^5*11^2*13^2
7865	191766528	210	2^13*3^4*17^2
7866	191850201	39	3^12*19^2
7867	191874150	216	2^1*3^3*5^2*13^2*29^2
7868	192000000	182	2^12*3^1*5^6
7869	192080000	200	2^7*5^4*7^4
7870	192099600	675	2^4*3^4*5^2*7^2*11^2
7871	192119202	90	2^1*3^8*11^4
7872	192158408	60	2^3*13^4*29^2
7873	192192048	180	2^4*3^3*23^2*29^2
7874	192384192	378	2^6*3^1*7^2*11^2*13^2
7875	192432384	135	2^8*3^2*17^4
7876	192633210	324	2^1*3^2*5^1*7^2*11^2*19^2
7877	192675840	228	2^18*3^1*5^1*7^2
7878	192893400	360	2^3*3^9*5^2*7^2
7879	192913083	42	3^13*11^2
7880	193072360	56	2^3*5^1*13^6
7881	193100552	28	2^3*17^6
7882	193106160	360	2^4*3^3*5^1*13^2*23^2
7883	193179168	378	2^5*3^6*7^2*13^2
7884	193429215	144	3^7*5^1*7^2*19^2
7885	193600000	180	2^9*5^5*11^2
7886	193627225	45	5^2*11^4*23^2
7887	193642566	108	2^1*3^1*13^2*19^2*23^2
7888	193766400	297	2^10*3^2*5^2*29^2
7889	193847136	180	2^5*3^1*7^4*29^2
7890	193849929	135	3^4*7^2*13^2*17^2
7891	194281472	144	2^15*7^2*11^2
7892	194304640	144	2^7*5^1*19^2*29^2
7893	194400000	324	2^8*3^5*5^5
7894	194407500	270	2^2*3^1*5^4*7^2*23^2
7895	194439200	162	2^5*5^2*17^2*29^2
7896	194481000	400	2^3*3^4*5^3*7^4
7897	194715378	162	2^1*3^2*11^2*13^2*23^2
7898	194940000	360	2^5*3^3*5^4*19^2
7899	195010560	252	2^13*3^2*5^1*23^2
7900	195021225	135	3^2*5^2*7^4*19^2
7901	195084288	270	2^14*3^5*7^2
7902	195228800	216	2^7*5^2*13^2*19^2
7903	195364000	216	2^5*5^3*13^2*17^2
7904	195481500	120	2^2*3^1*5^3*19^4
7905	195519987	72	3^7*13^2*23^2
7906	195552256	99	2^10*19^2*23^2
7907	195616875	90	3^1*5^4*17^2*19^2
7908	195761664	360	2^9*3^3*7^2*17^2
7909	196000000	189	2^8*5^6*7^2
7910	196020000	450	2^5*3^4*5^4*11^2
7911	196101675	180	3^3*5^2*7^4*11^2
7912	196196049	81	3^2*7^2*23^2*29^2
7913	196310400	432	2^7*3^1*5^2*11^2*13^2
7914	196392196	135	2^2*7^4*11^2*13^2
7915	196441392	150	2^4*3^1*7^2*17^4
7916	196635648	198	2^10*3^1*11^2*23^2
7917	196700625	135	3^2*5^4*11^2*17^2
7918	196733448	180	2^3*3^4*19^2*29^2
7919	196830000	250	2^4*3^9*5^4
7920	196869690	180	2^1*3^4*5^1*17^2*29^2
7921	197009296	75	2^4*11^4*29^2
7922	197109375	48	3^1*5^7*29^2
7923	197121600	441	2^6*3^6*5^2*13^2
7924	197203734	180	2^1*3^5*7^4*13^2
7925	197413632	180	2^8*3^3*13^4
7926	197448192	210	2^9*3^6*23^2
7927	197653500	240	2^2*3^3*5^3*11^4
7928	197669160	360	2^3*3^4*5^1*13^2*19^2
7929	197803200	378	2^6*3^1*5^2*7^2*29^2
7930	197806050	270	2^1*3^4*5^2*13^2*17^2
7931	197823384	216	2^3*3^5*11^2*29^2
7932	197885618	42	2^1*7^6*29^2
7933	198046875	54	3^1*5^8*13^2
7934	198099096	120	2^3*3^1*13^4*17^2
7935	198133776	225	2^4*3^4*17^2*23^2
7936	198218241	45	3^2*13^2*19^4
7937	198246400	153	2^16*5^2*11^2
7938	198375000	168	2^3*3^1*5^6*23^2
7939	198470250	216	2^1*3^8*5^3*11^2
7940	198640836	99	2^2*3^10*29^2
7941	198744000	504	2^6*3^1*5^3*7^2*13^2
7942	198826810	84	2^1*5^1*7^6*13^2
7943	199001250	270	2^1*3^2*5^4*7^2*19^2
7944	199065600	288	2^15*3^5*5^2
7945	199148544	275	2^10*3^4*7^4
7946	199290375	56	3^13*5^3
7947	199316403	108	3^3*11^2*13^2*19^2
7948	199360512	162	2^17*3^2*13^2
7949	199451560	216	2^3*5^1*7^2*11^2*29^2
7950	199618560	312	2^12*3^3*5^1*19^2
7951	199756800	396	2^10*3^3*5^2*17^2
7952	199840032	270	2^5*3^2*7^4*17^2
7953	200000000	90	2^9*5^8
7954	200052736	117	2^12*13^2*17^2
7955	200103750	360	2^1*3^3*5^4*7^2*11^2
7956	200173056	100	2^9*3^1*19^4
7957	200200050	162	2^1*3^2*5^2*23^2*29^2
7958	200275740	324	2^2*3^5*5^1*7^2*29^2
7959	200400200	324	2^3*5^2*7^2*11^2*13^2
7960	200420649	75	3^4*11^4*13^2
7961	200450400	180	2^5*3^1*5^2*17^4
7962	200533921	25	7^4*17^4
7963	200704000	192	2^15*5^3*7^2
7964	200732224	189	2^6*7^2*11^2*23^2
7965	200930625	135	3^8*5^4*7^2
7966	201152250	216	2^1*3^2*5^3*13^2*23^2
7967	201228300	486	2^2*3^5*5^2*7^2*13^2
7968	201282048	270	2^9*3^2*11^2*19^2
7969	201326592	54	2^26*3^1
7970	201421440	432	2^7*3^2*5^1*11^2*17^2
7971	201526416	225	2^4*3^2*7^2*13^4
7972	201561696	324	2^5*3^5*7^2*23^2
7973	201840000	240	2^7*3^1*5^4*29^2
7974	201924100	135	2^2*5^2*7^4*29^2
7975	201980944	135	2^4*11^2*17^2*19^2
7976	202045202	30	2^1*19^2*23^4
7977	202113792	216	2^8*3^7*19^2
7978	202253760	336	2^6*3^7*5^1*17^2
7979	202261563	108	3^3*7^2*17^2*23^2
7980	202397184	200	2^9*3^3*11^4
7981	202500000	240	2^5*3^4*5^7
7982	202584375	120	3^3*5^5*7^4
7983	202815576	216	2^3*3^5*17^2*19^2
7984	203062500	189	2^2*3^2*5^6*19^2
7985	203099952	150	2^4*3^1*11^4*17^2
7986	203136000	264	2^10*3^1*5^3*23^2
7987	203164566	60	2^1*3^1*11^2*23^4
7988	203212800	540	2^11*3^4*5^2*7^2
7989	203220640	180	2^5*5^1*7^4*23^2
7990	203233536	243	2^8*3^8*11^2
7991	203297472	196	2^6*3^3*7^6
7992	203513856	252	2^13*3^1*7^2*13^2
7993	203696928	90	2^5*3^2*29^4
7994	203918400	567	2^6*3^2*5^2*7^2*17^2
7995	203939208	252	2^3*3^6*11^2*17^2
7996	204003366	84	2^1*3^1*7^6*17^2
7997	204004089	35	3^6*23^4
7998	204073344	112	2^7*3^13
7999	204187500	252	2^2*3^3*5^6*11^2
8000	204343328	90	2^5*7^2*19^4
8001	204404209	15	17^2*29^4
8002	204484840	216	2^3*5^1*7^2*17^2*19^2
8003	204490000	225	2^4*5^4*11^2*13^2
8004	204626450	90	2^1*5^2*7^2*17^4
8005	204665760	324	2^5*3^2*5^1*13^2*29^2
8006	204781932	108	2^2*3^11*17^2
8007	204828800	216	2^7*5^2*11^2*23^2
8008	204906240	648	2^8*3^3*5^1*7^2*11^2
8009	204930675	108	3^3*5^2*19^2*29^2
8010	205031250	126	2^1*3^8*5^6
8011	205234276	81	2^2*13^2*19^2*29^2
8012	205335000	360	2^3*3^5*5^4*13^2
8013	205475424	324	2^5*3^1*7^2*11^2*19^2
8014	205520896	69	2^22*7^2
8015	205639200	270	2^5*3^2*5^2*13^4
8016	205675200	378	2^6*3^5*5^2*23^2
8017	205683135	60	3^1*5^1*7^2*23^4
8018	205724883	50	3^1*7^4*13^4
8019	205752960	432	2^7*3^8*5^1*7^2
8020	205760898	150	2^1*3^4*7^4*23^2
8021	205905375	144	3^3*5^3*13^2*19^2
8022	205979904	243	2^8*3^2*13^2*23^2
8023	206045000	180	2^3*5^4*7^2*29^2
8024	206066025	135	3^4*5^2*11^2*29^2
8025	206324496	315	2^4*3^6*7^2*19^2
8026	206353225	45	5^2*13^4*17^2
8027	206371308	162	2^2*3^1*11^2*13^2*29^2
8028	206389350	216	2^1*3^3*5^2*17^2*23^2
8029	206613792	270	2^5*3^2*7^2*11^4
8030	206640625	27	5^8*23^2
8031	206684160	180	2^14*3^1*5^1*29^2
8032	206695112	108	2^3*13^2*17^2*23^2
8033	206819427	30	3^1*19^4*23^2
8034	207025000	216	2^3*5^5*7^2*13^2
8035	207224082	126	2^1*3^6*13^2*29^2
8036	207331201	45	7^2*11^4*17^2
8037	207352860	180	2^2*3^1*5^1*11^2*13^4
8038	207360000	325	2^12*3^4*5^4
8039	207389160	360	2^3*3^4*5^1*11^2*23^2
8040	207446400	480	2^7*3^3*5^2*7^4
8041	207467568	360	2^4*3^7*7^2*11^2
8042	207532836	81	2^2*3^2*7^8
8043	207667200	270	2^14*3^1*5^2*13^2
8044	207753728	150	2^9*7^4*13^2
8045	207936000	360	2^9*3^2*5^3*19^2
8046	207940614	60	2^1*3^1*7^2*29^4
8047	207965241	81	3^2*11^2*19^2*23^2
8048	208011264	108	2^17*3^1*23^2
8049	208022640	300	2^4*3^1*5^1*7^4*19^2
8050	208080000	360	2^7*3^2*5^4*17^2
8051	208166700	270	2^2*3^1*5^2*7^4*17^2
8052	208209690	140	2^1*3^6*5^1*13^4
8053	208246140	180	2^2*3^9*5^1*23^2
8054	208324872	156	2^3*3^12*7^2
8055	208406528	108	2^11*11^2*29^2
8056	208513600	105	2^6*5^2*19^4
8057	208802500	75	2^2*5^4*17^4
8058	209117403	60	3^3*11^4*23^2
8059	209267712	198	2^10*3^5*29^2
8060	209397760	216	2^11*5^1*11^2*13^2
8061	209668800	378	2^6*3^1*5^2*11^2*19^2
8062	209715200	72	2^23*5^2
8063	209756162	90	2^1*7^4*11^2*19^2
8064	209814000	360	2^4*3^1*5^3*11^2*17^2
8065	209923350	180	2^1*3^1*5^2*7^2*13^4
8066	209960100	405	2^2*3^4*5^2*7^2*23^2
8067	209994336	216	2^5*3^3*17^2*29^2
8068	210250000	105	2^4*5^6*29^2
8069	210263040	396	2^10*3^5*5^1*13^2
8070	210271152	270	2^4*3^1*7^2*13^2*23^2
8071	210535200	378	2^5*3^6*5^2*19^2
8072	210622923	90	3^5*7^4*19^2
8073	210681000	336	2^3*3^6*5^3*17^2
8074	210723483	30	3^1*17^4*29^2
8075	210830400	315	2^6*3^2*5^2*11^4
8076	210847104	288	2^7*3^3*13^2*19^2
8077	210918246	100	2^1*3^1*7^4*11^4
8078	210937500	120	2^2*3^3*5^9
8079	211266225	135	3^4*5^2*17^2*19^2
8080	211416040	120	2^3*5^1*11^4*19^2
8081	211562450	90	2^1*5^2*11^4*17^2
8082	211579212	162	2^2*3^1*13^2*17^2*19^2
8083	211600000	144	2^7*5^5*23^2
8084	211680000	540	2^8*3^3*5^4*7^2
8085	211701600	432	2^5*3^7*5^2*11^2
8086	211725735	60	3^1*5^1*13^2*17^4
8087	211768200	252	2^3*3^2*5^2*7^6
8088	211789809	105	3^6*7^4*11^2
8089	211993600	297	2^10*5^2*7^2*13^2
8090	212015232	360	2^7*3^4*11^2*13^2
8091	212184300	90	2^2*3^1*5^2*29^4
8092	212289660	324	2^2*3^5*5^1*11^2*19^2
8093	212336640	200	2^19*3^4*5^1
8094	212344832	126	2^13*7^2*23^2
8095	212415000	360	2^3*3^1*5^4*7^2*17^2
8096	212436675	162	3^5*5^2*11^2*17^2
8097	212576400	195	2^4*3^12*5^2
8098	212751396	243	2^2*3^2*11^2*13^2*17^2
8099	212891328	210	2^6*3^9*13^2
8100	212926464	153	2^16*3^2*19^2
8101	213166890	132	2^1*3^10*5^1*19^2
8102	213193500	216	2^2*3^1*5^3*13^2*29^2
8103	213444000	648	2^5*3^2*5^3*7^2*11^2
8104	213532935	84	3^1*5^1*7^6*11^2
8105	213627456	315	2^6*3^4*7^2*29^2
8106	213630534	144	2^1*3^7*13^2*17^2
8107	213665792	108	2^11*17^2*19^2
8108	213813760	100	2^9*5^1*17^4
8109	213890625	105	3^4*5^6*13^2
8110	214036900	243	2^2*5^2*7^2*11^2*19^2
8111	214106112	204	2^16*3^3*11^2
8112	214207500	150	2^2*3^1*5^4*13^4
8113	214245000	300	2^3*3^4*5^4*23^2
8114	214326000	480	2^4*3^7*5^3*7^2
8115	214358881	9	11^8
8116	214369218	162	2^1*3^2*7^2*17^2*29^2
8117	214562400	324	2^5*3^1*5^2*13^2*23^2
8118	214651801	45	7^4*13^2*23^2
8119	214849536	216	2^11*3^1*11^2*17^2
8120	214917888	90	2^8*3^1*23^4
8121	214921350	324	2^1*3^5*5^2*7^2*19^2
8122	214990848	144	2^15*3^8
8123	215222700	270	2^2*3^1*5^2*7^2*11^4
8124	215239752	324	2^3*3^2*7^2*13^2*19^2
8125	215296000	144	2^11*5^3*29^2
8126	215326276	81	2^2*11^2*23^2*29^2
8127	215388810	324	2^1*3^2*5^1*7^2*13^2*17^2
8128	215737344	231	2^10*3^6*17^2
8129	216000000	280	2^9*3^3*5^6
8130	216030375	144	3^3*5^3*11^2*23^2
8131	216090000	375	2^4*3^2*5^4*7^4
8132	216112050	378	2^1*3^6*5^2*7^2*11^2
8133	216178209	45	3^2*13^4*29^2
8134	216216054	108	2^1*3^5*23^2*29^2
8135	216320000	180	2^11*5^4*13^2
8136	216432216	432	2^3*3^3*7^2*11^2*13^2
8137	216486432	150	2^5*3^4*17^4
8138	216600000	252	2^6*3^1*5^5*19^2
8139	216678400	135	2^14*5^2*23^2
8140	216690250	120	2^1*5^3*7^4*19^2
8141	216750000	210	2^4*3^1*5^6*17^2
8142	217005075	108	3^11*5^2*7^2
8143	217238121	21	3^2*17^6
8144	217326564	243	2^2*3^8*7^2*13^2
8145	217362432	234	2^12*3^1*7^2*19^2
8146	217512960	396	2^10*3^1*5^1*7^2*17^2
8147	217987200	360	2^7*3^4*5^2*29^2
8148	217995610	108	2^1*5^1*7^2*23^2*29^2
8149	218078028	180	2^2*3^3*7^4*29^2
8150	218310144	180	2^9*3^1*13^2*29^2
8151	218405000	180	2^3*5^4*11^2*19^2
8152	218556250	108	2^1*5^5*11^2*17^2
8153	218566656	351	2^12*3^2*7^2*11^2
8154	218744100	243	2^2*3^2*5^2*17^2*29^2
8155	219024000	480	2^7*3^4*5^3*13^2
8156	219032450	162	2^1*5^2*7^2*13^2*23^2
8157	219115260	360	2^2*3^3*5^1*7^4*13^2
8158	219199922	30	2^1*19^4*29^2
8159	219307500	270	2^2*3^5*5^4*19^2
8160	219325568	216	2^7*7^2*11^2*17^2
8161	219395344	75	2^4*7^2*23^4
8162	219459375	108	3^5*5^5*17^2
8163	219469824	288	2^11*3^7*7^2
8164	219615000	200	2^3*3^1*5^4*11^4
8165	219632400	405	2^4*3^2*5^2*13^2*19^2
8166	219803760	360	2^4*3^3*5^1*11^2*29^2
8167	219996288	216	2^7*3^2*19^2*23^2
8168	220148640	324	2^5*3^2*5^1*17^2*23^2
8169	220231872	378	2^6*3^5*7^2*17^2
8170	220242490	60	2^1*5^1*13^2*19^4
8171	220414326	108	2^1*3^1*11^2*19^2*29^2
8172	220463104	57	2^18*29^2
8173	220500000	378	2^5*3^2*5^6*7^2
8174	220522500	315	2^2*3^6*5^4*11^2
8175	220591875	70	3^1*5^4*7^6
8176	220712040	216	2^3*3^8*5^1*29^2
8177	220760164	81	2^2*17^2*19^2*23^2
8178	220849200	540	2^4*3^3*5^2*11^2*13^2
8179	220996566	120	2^1*3^3*7^2*17^4
8180	221176384	105	2^6*11^2*13^4
8181	221184000	272	2^16*3^3*5^3
8182	221215104	288	2^7*3^3*11^2*23^2
8183	221265625	63	5^6*7^2*17^2
8184	221276160	360	2^11*3^2*5^1*7^4
8185	221325129	63	3^6*19^2*29^2
8186	221433750	120	2^1*3^11*5^4
8187	221635458	90	2^1*3^2*11^4*29^2
8188	221761800	324	2^3*3^8*5^2*13^2
8189	221798400	252	2^13*3^1*5^2*19^2
8190	221890816	135	2^8*7^4*19^2
8191	221983212	162	2^2*3^1*11^2*17^2*23^2
8192	222090336	180	2^5*3^5*13^4
8193	222129216	189	2^6*3^8*23^2
8194	222337500	324	2^2*3^1*5^5*7^2*11^2
8195	222528600	432	2^3*3^3*5^2*7^2*29^2
8196	222551307	72	3^7*11^2*29^2
8197	222689610	180	2^1*3^2*5^1*11^4*13^2
8198	222858272	162	2^5*7^2*13^2*29^2
8199	222861483	60	3^3*13^4*17^2
8200	222900498	126	2^1*3^6*17^2*23^2
8201	223027200	378	2^13*3^2*5^2*11^2
8202	223120128	270	2^8*3^1*7^4*11^2
8203	223146735	108	3^1*5^1*7^2*19^2*29^2
8204	223171875	84	3^3*5^6*23^2
8205	223256250	252	2^1*3^6*5^5*7^2
8206	223502500	135	2^2*5^4*13^2*23^2
8207	223609815	144	3^7*5^1*11^2*13^2
8208	223801600	243	2^8*5^2*11^2*17^2
8209	223872800	90	2^5*5^2*23^4
8210	223918240	180	2^5*5^1*7^2*13^4
8211	223948800	312	2^12*3^7*5^2
8212	223957440	504	2^6*3^3*5^1*7^2*23^2
8213	224042112	280	2^7*3^6*7^4
8214	224208075	162	3^1*5^2*7^2*13^2*19^2
8215	224280576	225	2^14*3^4*13^2
8216	224579544	216	2^3*3^1*7^2*19^2*23^2
8217	224726400	432	2^7*3^5*5^2*17^2
8218	224820036	225	2^2*3^4*7^4*17^2
8219	224885760	220	2^10*3^1*5^1*11^4
8220	225000000	189	2^6*3^2*5^8
8221	225059328	270	2^9*3^2*13^2*17^2
8222	225093750	140	2^1*3^1*5^6*7^4
8223	225194688	140	2^6*3^3*19^4
8224	225350640	360	2^4*3^3*5^1*17^2*19^2
8225	225450225	243	3^2*5^2*7^2*11^2*13^2
8226	225506700	180	2^2*3^3*5^2*17^4
8227	225558723	54	3^1*13^2*23^2*29^2
8228	225625000	96	2^3*5^7*19^2
8229	225781250	54	2^1*5^8*17^2
8230	225815040	420	2^9*3^6*5^1*11^2
8231	225823752	324	2^3*3^2*7^2*11^2*23^2
8232	225840784	75	2^4*13^2*17^4
8233	225976614	60	2^1*3^1*17^2*19^4
8234	226419200	270	2^9*5^2*7^2*19^2
8235	226442304	315	2^6*3^4*11^2*19^2
8236	226492416	96	2^23*3^3
8237	226576000	288	2^7*5^3*7^2*17^2
8238	226631535	60	3^1*5^1*13^4*23^2
8239	226671210	100	2^1*3^4*5^1*23^4
8240	226717218	150	2^1*3^4*7^2*13^4
8241	226748160	216	2^8*3^11*5^1
8242	226756908	216	2^2*3^7*7^2*23^2
8243	226759808	56	2^7*11^6
8244	227070000	300	2^4*3^3*5^4*29^2
8245	227228562	162	2^1*3^2*11^2*17^2*19^2
8246	227278848	114	2^18*3^1*17^2
8247	227378016	180	2^5*3^9*19^2
8248	227406400	189	2^6*5^2*13^2*29^2
8249	227673600	540	2^9*3^1*5^2*7^2*11^2
8250	227696832	210	2^6*3^5*11^4
8251	227768464	105	2^4*7^6*11^2
8252	227783168	90	2^9*23^2*29^2
8253	228150000	360	2^4*3^3*5^5*13^2
8254	228167523	72	3^7*17^2*19^2
8255	228487446	120	2^1*3^3*11^4*17^2
8256	228614400	567	2^8*3^6*5^2*7^2
8257	228637728	198	2^5*3^10*11^2
8258	228709656	168	2^3*3^5*7^6
8259	228765625	35	5^6*11^4
8260	228783750	180	2^1*3^1*5^4*13^2*19^2
8261	228866560	180	2^9*5^1*13^2*23^2
8262	228953088	396	2^10*3^3*7^2*13^2
8263	228962250	216	2^1*3^2*5^3*11^2*29^2
8264	229159044	75	2^2*3^4*29^4
8265	229162800	270	2^4*3^1*5^2*19^2*23^2
8266	229249440	540	2^5*3^4*5^1*7^2*19^2
8267	229321500	216	2^2*3^1*5^3*17^2*23^2
8268	229408200	540	2^3*3^4*5^2*7^2*17^2
8269	229431609	81	3^8*11^2*17^2
8270	229582512	80	2^4*3^15
8271	229687500	162	2^2*3^1*5^8*7^2
8272	229748064	324	2^5*3^1*7^2*13^2*17^2
8273	229886244	135	2^2*3^2*7^2*19^4
8274	229908375	96	3^7*5^3*29^2
8275	230051250	270	2^1*3^2*5^4*11^2*13^2
8276	230400000	252	2^13*3^2*5^5
8277	230432400	405	2^4*3^2*5^2*11^2*23^2
8278	230496000	360	2^8*3^1*5^3*7^4
8279	230592040	72	2^3*5^1*7^8
8280	231001875	120	3^7*5^4*13^2
8281	231040000	165	2^10*5^4*19^2
8282	231072490	108	2^1*5^1*11^2*19^2*23^2
